username,sentiment_score,dominant_sentiment
em.dw,84.33,Positive 😄
beibeifit,84.75,Positive 😄
allexclarke,76.92,Positive 😄
aaron_and_gavin,86.67,Positive 😄
cherrypickedstyle,76.35,Positive 😄
amyydamante,78.28,Positive 😄
abigailsunshine,76.09,Positive 😄
anamariefaith,0.0,Neutral 😐
bearnecessities___,76.74,Positive 😄
by_alerojas,100.0,Positive 😄
bellavarelis,78.93,Positive 😄
buupsay,80.0,Positive 😄
bjerneskar,79.28,Positive 😄
beautygeeksascha,81.11,Positive 😄
adashofdetails,78.63,Positive 😄
book.ninja,84.04,Positive 😄
bulakke,85.0,Positive 😄
annamatednetworks,91.3,Positive 😄
chrissygx33,77.27,Positive 😄
baracatr,79.55,Positive 😄
_beautiful_homeliving_,79.43,Positive 😄
bgorgeousguurrl,79.73,Positive 😄
botticelliangels,80.68,Positive 😄
basicthinkingde,80.58,Positive 😄
bestdupe,78.11,Positive 😄
2008irene,83.9,Positive 😄
innerriot,82.29,Positive 😄
biancaderhy,77.38,Positive 😄
belmelange,77.48,Positive 😄
anthonygeorgehome,80.26,Positive 😄
arhemb,79.55,Positive 😄
amyjrobinson_,79.77,Positive 😄
anouskapb,78.29,Positive 😄
cecerahoerason,87.27,Positive 😄
booksandbookskw,92.86,Positive 😄
bymorgantyler,85.45,Positive 😄
aaronhstephenson,82.61,Positive 😄
andreeacristina,75.61,Positive 😄
andreamendi,78.54,Positive 😄
arielleireland,77.08,Positive 😄
apriljwagner,77.1,Positive 😄
angelinaaelizabethh,78.29,Positive 😄
amy.fan.iliyassrk,100.0,Positive 😄
chaneltima,81.41,Positive 😄
christiana_balogun,77.94,Positive 😄
andrewkuttler,80.07,Positive 😄
amyvictoriabaldwin,79.44,Positive 😄
axel.axe_,83.33,Positive 😄
agnekavaliauskaite,100.0,Positive 😄
avechannah,88.0,Positive 😄
a_house_and_its_story,81.52,Positive 😄
carlos_domord,77.36,Positive 😄
amy_greaves1,78.36,Positive 😄
batomdamanda,83.33,Positive 😄
bella_adele,79.9,Positive 😄
a.bouquet.of.flowers,81.56,Positive 😄
ylvathepowderpuff,77.48,Positive 😄
andrewdeast,76.96,Positive 😄
birgittesn,78.25,Positive 😄
cashmerepinkblog,100.0,Positive 😄
artsycraftsymom,83.33,Positive 😄
brepeablog,80.1,Positive 😄
anie_delgado,76.67,Positive 😄
adyeljuergensen,77.91,Positive 😄
amberknight_yt,81.01,Positive 😄
annbrasco,82.14,Positive 😄
catharinemisook,80.68,Positive 😄
christie_miless,78.52,Positive 😄
alessandro.piacenti,75.75,Positive 😄
allieandsam,75.94,Positive 😄
bububuhihihi,0.0,Neutral 😐
ac_parham,85.71,Positive 😄
aliyapatrice,77.1,Positive 😄
_anutka__,77.62,Positive 😄
ariannachieli,80.03,Positive 😄
aasian,76.79,Positive 😄
_annaamariiee,90.0,Positive 😄
aboutfacephilly,82.81,Positive 😄
adventurerig,78.65,Positive 😄
chasingdavies,89.12,Positive 😄
bbpaws,76.72,Positive 😄
christinamariefuentes,80.17,Positive 😄
caterinamoda,76.42,Positive 😄
beautycolor3,85.04,Positive 😄
alexapugliese_,76.43,Positive 😄
ashworethat,76.22,Positive 😄
calebcastille,78.53,Positive 😄
alexismwah.jpg,0.0,Neutral 😐
ava_stanford,71.67,Positive 😄
allaboutvivien,76.0,Positive 😄
avajules_,79.18,Positive 😄
chavespauok,77.28,Positive 😄
cacodecastro,74.4,Positive 😄
bodenschatzfitness,78.08,Positive 😄
alexlight_ldn,77.37,Positive 😄
sarahdenizz,77.98,Positive 😄
beautiful_around.us,97.22,Positive 😄
aleahshilling,77.43,Positive 😄
adritomato,86.0,Positive 😄
boy_mommy_a_a_a,100.0,Positive 😄
ameliarosepark,75.81,Positive 😄
andrennataylor,76.74,Positive 😄
bellaengstrm,100.0,Positive 😄
backpackfreddi,83.33,Positive 😄
awhimsicalrose,76.81,Positive 😄
beautifuleffort,72.45,Positive 😄
cestlevi,76.71,Positive 😄
calicurls,76.77,Positive 😄
bnewfield,79.49,Positive 😄
90s_share,100.0,Positive 😄
canaldabianca,81.69,Positive 😄
caterina_tonzuso,79.38,Positive 😄
bo__decor,76.74,Positive 😄
1037theq,79.15,Positive 😄
artsdistrictcollective,76.58,Positive 😄
annlestyle,79.65,Positive 😄
aligreen13,79.53,Positive 😄
beyondthiscity,77.76,Positive 😄
cellaalyssa,81.2,Positive 😄
breehoffmann,100.0,Positive 😄
beckywillis,80.67,Positive 😄
anisasojka,77.94,Positive 😄
alxndrhamilton,81.25,Positive 😄
callmekimhq,83.33,Positive 😄
babesabouttown,81.73,Positive 😄
4micah21,0.0,Neutral 😐
agnesgrundahl,85.71,Positive 😄
cassywallfood,77.05,Positive 😄
atk0227,0.0,Neutral 😐
angelicasalem,92.11,Positive 😄
beautycon,78.03,Positive 😄
ally_bing,86.36,Positive 😄
bellahadid,75.27,Positive 😄
barbarapochetto,77.02,Positive 😄
bigrizz,88.04,Positive 😄
caseyncawthon,100.0,Positive 😄
atoosha23,77.49,Positive 😄
brecht.engels,81.76,Positive 😄
beccaedwards.x,77.2,Positive 😄
3444.3444,0.0,Neutral 😐
ashleyempowers,78.95,Positive 😄
anne_travel_foodie,74.83,Positive 😄
chezlarae,75.64,Positive 😄
chicroom_bym,75.42,Positive 😄
blerd.ish,85.0,Positive 😄
annaxoutou,79.64,Positive 😄
bruno_bosse,82.66,Positive 😄
amandakl,88.65,Positive 😄
anastasiajanel,73.53,Positive 😄
ashleykane,78.82,Positive 😄
amandacaseyvance,76.29,Positive 😄
aitaxopistaxo,78.32,Positive 😄
_amuralhunter_,81.07,Positive 😄
bostonfoodgram,75.82,Positive 😄
carlotagrandeb,78.24,Positive 😄
